https://www.avito.ru/moskva/kvartiry/kvartira-studiya_146_m_19_et._7351474067?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3RkdIa2lUSUZUTkRKOExrIjt9xGoUKD8AAAA,,,,,,,,,12.6 м²,студия,,,,14.6 м²,,,,,косметический,,свободная,,,кирпичный,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_172_m_112_et._4811578154?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ3Z0d1NE52eVZUNEZBdGF3Ijt9CKW0Sj8AAAA,,,возможна ипотека,2.8 м,,,,,15 м²,студия,,,,17.2 м²,во двор,,,1,евро,совмещенный,свободная,,,панельный,,1 из 12,12
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_15_m_19_et._7351114957?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJVcmUzR3UxdG16SnlkVkJOIjt99HrDGj8AAAA,,мусоропровод,,2.7 м,1979,нет,детская площадка,,13 м²,студия,,,,15 м²,во двор,,открытая во дворе,1,евро,совмещенный,свободная,,,панельный,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_21_m_120_et._7325416518?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWRnA3dFpyemFYNlFWZzlBIjt9C3ZHAj8AAAA,,,возможна ипотека,2.8 м,2023,1,"детская площадка, спортивная площадка",,,студия,,,,21 м²,во двор,,"подземная, открытая во дворе",1,требует ремонта,совмещенный,свободная,,,монолитный,,1 из 20,20
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_256_m_914_et._7316414569?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJjMWNvY05wWEdHTUs2Tk1SIjt9ICcNKD8AAAA,,,,2.7 м,,,,,11.4 м²,студия,Корпус 9/2.1,,Район «Новые Ватутинки»,25.6 м²,на улицу,чистовая,подземная,,,совмещенный,,Сдан 2 кв. 2024,,монолитный,другое,9 из 14,14
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_146_m_19_et._4774037760?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJzV283WHBzQ1VJQlhxY3pmIjt9fYb83T8AAAA,лоджия,мусоропровод,,2.6 м,1979,нет,детская площадка,,11 м²,студия,,,,14.6 м²,,,открытая во дворе,1,евро,совмещенный,свободная,,,панельный,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_13_m_112_et._7310301967?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0NU1iYXdlMlludVZtU0F6Ijt9gPgklD8AAAA,,мусоропровод,,2.7 м,1976,1,"детская площадка, спортивная площадка",,,студия,,,,13 м²,на солнечную сторону,,открытая во дворе,1,требует ремонта,раздельный,свободная,,,панельный,,1 из 12,12
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_18_m_214_et._7246405465?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2emZ2NDRRQld2UVduUnpDIjt98T7Psj8AAAA,,мусоропровод,,,1989,нет,"детская площадка, спортивная площадка",,,студия,,,,18 м²,во двор,,открытая во дворе,2,требует ремонта,совмещенный,свободная,,,панельный,,2 из 14,14
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_166_m_316_et._7325995362?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYMVpNMjFzdXJwRHpyeENZIjt9-hmq8z8AAAA,балкон,,,2.9 м,1988,нет,детская площадка,,7.1 м²,студия,,,,16.6 м²,на улицу,,открытая во дворе,нет,косметический,совмещенный,свободная,,,кирпичный,,3 из 16,16
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_155_m_110_et._7237408707?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsa2t4aHdGNE9HVXJyT3E4Ijt9SFZMPT8AAAA,,мусоропровод,,,1998,1,"детская площадка, спортивная площадка",,,студия,,,,15.5 м²,во двор,,открытая во дворе,1,евро,совмещенный,свободная,,,панельный,,1 из 10,10
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_298_m_2343_et._7370792918?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCeHVwVXllYnMwSzgzbHZEIjt9A90BUj8AAAA,,,возможна ипотека,3 м,,,,,16.3 м²,студия,,,ЖК «Марк»,29.8 м²,,без отделки,,,,совмещенный,,Сдача в 2 кв. 2028,,монолитный,ДДУ по ФЗ 214,23 из 43,43
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_227_m_220_et._7258674661?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxclhKQzI4MUJzcTBLMXNJIjt9AE52Iz8AAAA,лоджия,,,,2023,1,"детская площадка, спортивная площадка",,,студия,,,,22.7 м²,,,"подземная, открытая во дворе",1,требует ремонта,совмещенный,свободная,,,монолитный,,2 из 20,20
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_224_m_2629_et._7351179303?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDb0NVcWRpV0lVTzBkVHJJIjt9F-S8Bj8AAAA,,,возможна ипотека,2.9 м,,1,"закрытая территория, детская площадка, спортивная площадка",,10.4 м²,студия,Корпус 5,,ЖК «Level Нижегородская»,22.4 м²,во двор,предчистовая,,2,,совмещенный,договор долевого участия,Сдача в 4 кв. 2026,,монолитный,ДДУ по ФЗ 214,26 из 29,29
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_18_m_25_et._7340666270?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQUFlTdFBCWHAxdE5aNktmIjt9yDGVlT8AAAA,,,возможна ипотека,3 м,,нет,закрытая территория,,,студия,,,,18 м²,во двор,,,нет,требует ремонта,совмещенный,свободная,,,кирпичный,,2 из 5,5
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_339_m_620_et._7329816554?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYNWV3VGZxMFl1alEyd1BBIjt97p1MQj8AAAA,,,,,,,,,,студия,,,МФК «DIUS»,33.9 м²,на улицу,без отделки,,,,совмещенный,,Сдача в 4 кв. 2025,,монолитно-кирпичный,ДДУ по ФЗ 214,6 из 20,20
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_22_m_19_et._7322597501?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxMmlnaWtEVTNnODZ1QzRvIjt92ZTcID8AAAA,,мусоропровод,,3 м,1962,нет,"закрытая территория, детская площадка, спортивная площадка",,,студия,,,,22 м²,,,за шлагбаумом во дворе,1,требует ремонта,совмещенный,свободная,,,кирпичный,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_10_m_19_et._7325264199?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQOGVyeE5jZHZ5VmMxNHlJIjt9fOrAqz8AAAA,,мусоропровод,,2.6 м,1971,1,"детская площадка, спортивная площадка",,,студия,,,,10 м²,во двор,,открытая во дворе,1,требует ремонта,совмещенный,свободная,,,панельный,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_40_m_1019_et._7350611656?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJtS0RETFQxMEdyVUlSamFkIjt96tOX6z8AAAA,,,,3.2 м,,,,панорамные окна,25.3 м²,студия,,,МФК «RED7»,40 м²,на улицу,предчистовая,подземная,,,совмещенный,,Сдан 2 кв. 2024,,монолитный,другое,10 из 19,19
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_253_m_358_et._3370843129?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2MFRIZjREVUY0d0VpWVA2Ijt9oO-Wkz8AAAA,,,возможна ипотека,3 м,,,,,13.3 м²,студия,Корпус 1,,ЖК «Обручева 30»,25.3 м²,,без отделки,,,,совмещенный,,Сдача в 4 кв. 2026,,монолитный,ДДУ по ФЗ 214,3 из 58,58
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_15_m_11_et._7310719967?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBdHBRV1Uzb2o3YklrbkpZIjt9OQ0fOj8AAAA,,мусоропровод,,2.7 м,1977,нет,"детская площадка, спортивная площадка",,,студия,,,,15 м²,во двор,,открытая во дворе,2,требует ремонта,совмещенный,свободная,,,панельный,,1 из 1,1
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_177_m_19_et._4838428358?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0NDNVckg5RERCY0NCczB6Ijt9ym18zj8AAAA,лоджия,,,2.6 м,1971,нет,"детская площадка, спортивная площадка",,14 м²,студия,,,,17.7 м²,во двор,,открытая во дворе,1,требует ремонта,совмещенный,свободная,,,панельный,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_213_m_246_et._4787962917?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFNG5HN1V0R29ZNWdpSnV5Ijt9BiuT2j8AAAA,,,,,,,,,10.5 м²,студия,Корпус 3 (Diamond),,ЖК «River Park Кутузовский»,21.3 м²,,предчистовая,,,,,,Сдача в 3 кв. 2027,,монолитно-кирпичный,ДДУ по ФЗ 214,2 из 46,46
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_142_m_33_et._7332274382?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOTGtvSUdGVnZxMUtSNmJWIjt9qBalJD8AAAA,,,,2.7 м,1988,нет,детская площадка,,7.7 м²,студия,,,,14.2 м²,на солнечную сторону,,открытая во дворе,нет,косметический,совмещенный,свободная,,,кирпичный,,3 из 3,3
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_178_m_19_et._7322170506?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJidXJkVEFQTHNudGc3UnVoIjt9FM2g4j8AAAA,,мусоропровод,,2.6 м,1978,нет,детская площадка,,,студия,,,,17.8 м²,во двор,,открытая во дворе,1,косметический,совмещенный,свободная,,,панельный,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_279_m_1623_et._4003014881?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJtS0RETFQxMEdyVUlSamFkIjt96tOX6z8AAAA,балкон,,,2.9 м,,1,"закрытая территория, детская площадка",,16.3 м²,студия,Корпус 1,,Апарт-комплекс Аквилон Signal (Аквилон Сигнал),27.9 м²,во двор,предчистовая,"подземная, открытая во дворе",2,,,договор долевого участия,Сдача в 4 кв. 2026,,монолитный,ДДУ по ФЗ 214,16 из 23,23
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_115_m_16_et._7350510304?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJaWWNaVHR4OWNMeUc0dWRmIjt9U42N3z8AAAA,,,,3 м,1929,нет,детская площадка,,,студия,,,,11.5 м²,во двор,,,нет,требует ремонта,совмещенный,свободная,,,кирпичный,,1 из 6,6
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_143_m_55_et._7300097045?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIwUGRqZUlzYjdyYk14Zk1RIjt9NRwBhT8AAAA,,,,2.9 м,1927,нет,детская площадка,,8.5 м²,студия,,,,14.3 м²,во двор,,открытая во дворе,нет,косметический,совмещенный,свободная,,,кирпичный,,5 из 5,5
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_157_m_112_et._7322264355?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJocmpFaGhqZnFZMTVibUpxIjt9bwEpyD8AAAA,лоджия,мусоропровод,,2.7 м,1973,нет,детская площадка,,,студия,,,,15.7 м²,на солнечную сторону,,открытая во дворе,2,требует ремонта,совмещенный,свободная,,,панельный,,1 из 12,12
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_187_m_12_et._4786353100?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ3Z0d1NE52eVZUNEZBdGF3Ijt9CKW0Sj8AAAA,,,возможна ипотека,,,нет,,,12 м²,студия,,,,18.7 м²,во двор,,,нет,евро,совмещенный,свободная,,,кирпичный,,1 из 2,2
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_18_m_214_et._7312223523?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJhS05vZnVXdllZa1BqcFNZIjt9WaYklD8AAAA,,мусоропровод,,,2018,1,"детская площадка, спортивная площадка",,,студия,,,,18 м²,,,открытая во дворе,1,евро,совмещенный,свободная,,,панельный,,2 из 14,14
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_13_m_19_et._7293988117?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJhS05vZnVXdllZa1BqcFNZIjt9WaYklD8AAAA,балкон,мусоропровод,возможна ипотека,2.6 м,1969,нет,"детская площадка, спортивная площадка",,,студия,,,,13 м²,во двор,,открытая во дворе,1,евро,совмещенный,свободная,,,панельный,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_288_m_710_et._3969967205?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDanJHYjlMSVRzclZxTFV6Ijt9G5XEFj8AAAA,,,,,,,,,14.2 м²,студия,,,Апарт-отель ORO,28.8 м²,во двор,чистовая,,,,совмещенный,,Сдача в 3 кв. 2025,,монолитно-кирпичный,ДДУ по ФЗ 214,7 из 10,10
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_163_m_220_et._7246475229?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDanJHYjlMSVRzclZxTFV6Ijt9G5XEFj8AAAA,,,,2.9 м,2023,1,"детская площадка, спортивная площадка",,,студия,,,,16.3 м²,во двор,,"подземная, открытая во дворе",1,требует ремонта,совмещенный,свободная,,,монолитный,,2 из 20,20
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_165_m_19_et._7365389329?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOTGtvSUdGVnZxMUtSNmJWIjt9qBalJD8AAAA,лоджия,мусоропровод,,2.6 м,1976,нет,"детская площадка, спортивная площадка",,12 м²,студия,,,,16.5 м²,во двор,,открытая во дворе,1,косметический,совмещенный,свободная,,,панельный,,1 из 9,9
