Название,Цена,Адрес,Дата публикации,Продавец,Тип продавца,ID объявления,Количество комнат,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Этажей в доме,Высота потолков,Санузел,Балкон или лоджия,Окна,Ремонт,Тёплый пол,Мебель,Техника,Отделка,Тип дома,Год постройки,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Название новостройки,"Корпус, строение",Вид сделки,Способ продажи,Тип участия,Срок сдачи,Дополнительно,Геолокация,Ссылка
"3-к. квартира, 80,6 м², 12/16 эт.",16064502,"Москва, Северный административный округ, Молжаниновский район, жилой комплекс Молжаниново, к5",22 апреля 05:40,Группа «Самолет»,Группа «Самолет»,4508026651,3,6,59.7 м²,5.2 м²,12,16,2.8 м,"совмещенный, раздельный",,,,,"ю
бессрочно
Все и сразу
до 31.05.25
Trade-in
до 15.05.25
Скидка 5",,без отделки,монолитный,,1,1,"детская площадка, спортивная площадка",открытая во дворе,ЖК «Молжаниново»,Корпус 5,прямая продажа,,ДДУ по ФЗ 214,Сдача в 4 кв. 2025,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.36572000,55.93450000",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_806_m_1216_et._4508026651
"3-к. квартира, 128,3 м², 12/19 эт.",64000000,"Москва, ул. Лобачевского, 92к4",,Вячеслав,Вячеслав,7363909986,3,3,65 м²,18.3 м²,12,19,3.1 м,совмещенный,лоджия,во двор,евро,,"кухня, хранение одежды",кондиционер,дизайнерский ремонт,монолитно-кирпичный,2000,1,1,"закрытая территория, детская площадка, спортивная площадка","открытая во дворе, за шлагбаумом во дворе",Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.48493576,55.68220901",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_1283_m_1219_et._7363909986
"3-к. апартаменты, 140 м², 2/9 эт.",145600000,"Москва, Большой Каретный пер., 24с2",7 мая 00:25,PEOPLE - агентство элитной недвижимости,PEOPLE - агентство элитной недвижимости,2883410221,3,140,,30 м²,2,9,,совмещенный,,"во двор, на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",дизайнерский ремонт,монолитно-кирпичный,2013,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Каретный Плаза,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.61640500,55.77274000",https://www.avito.ru/moskva/kvartiry/3-k._apartamenty_140_m_29_et._2883410221
"3-к. апартаменты, 71 м², 7/7 эт.",55000000,"Москва, Большая Никитская ул., 31",11 мая 07:49,Monumental Group,Monumental Group,2669653962,3,71,,10 м²,7,7,3.7 м,совмещенный,,на улицу,евро,,и техника остается. Планировочным решением предусмотрено,остается. Планировочным решением предусмотрено,дизайнерский ремонт,кирпичный,1900,1,нет,,,Жк Миловидное,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.59595000,55.75688300",https://www.avito.ru/moskva/kvartiry/3-k._apartamenty_71_m_77_et._2669653962
"3-к. квартира, 60 м², 1/9 эт.",12500000,"Москва, Путевой пр., 26А",8 мая 17:49,Зеленый Проспект,Зеленый Проспект,4804033368,3,60,38 м²,7 м²,1,9,,раздельный,лоджия,"во двор, на улицу",требует ремонта,,,,"На балконе сделан ремонт, стены утеплены.",панельный,1969,2,нет,", на улицу
Ремонт",,Жк Донской,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.57496500,55.87668800",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_60_m_19_et._4804033368
"3-к. квартира, 61,3 м², 7/9 эт.",12400000,"Москва, Челябинская ул., 21",,Пользователь,Пользователь,4858114337,3,3,39.1 м²,8 м²,7,9,2.6 м,раздельный,лоджия,"во двор, на улицу",требует ремонта,,"кухня, спальные места",холодильник,"Год постройки, расположение, ремонт и",панельный,1976,1,,"детская площадка, спортивная площадка",открытая во дворе,Жк Донской,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.83190918,55.77865219",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_613_m_79_et._4858114337
"3-к. квартира, 82,5 м², 3/12 эт.",83000000,"Москва, ул. Сергея Бондарчука, 4",10 мая 09:30,PEOPLE - агентство элитной недвижимости,PEOPLE - агентство элитной недвижимости,7202923301,3,5,,7 м²,3,12,,совмещенный,Лоджия,"во двор, на улицу, на солнечную сторону",требует ремонта,,,,дизайнерский ремонт,монолитно-кирпичный,2024,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.48193600,55.69202400",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_825_m_312_et._7202923301
"3-к. квартира, 131 м², 6/8 эт.",214000000,"Москва, 2-я Черногрязская ул., 6к2",7 мая 10:45,PEOPLE - агентство элитной недвижимости,PEOPLE - агентство элитной недвижимости,4418756987,3,131,,15 м²,6,8,3.2 м,совмещенный,,"во двор, на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",дизайнерский ремонт,монолитный,2017,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.54754000,55.76218100",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_131_m_68_et._4418756987
"3-к. квартира, 86,7 м², 2/19 эт.",39082000,"Москва, жилой комплекс Остров, 5-й квартал, 8",7 мая 00:24,PEOPLE - агентство элитной недвижимости,PEOPLE - агентство элитной недвижимости,7202701202,3,7,,19.2 м²,2,19,3.2 м,совмещенный,,"во двор, на улицу, на солнечную сторону",требует ремонта,,,,дизайнерский ремонт,монолитно-кирпичный,2024,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.45868700,55.74885300",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_867_m_219_et._7202701202
"3-к. апартаменты, 57,7 м², 16/18 эт.",26950000,"Москва, Корабельная ул., 9",,Пользователь,Пользователь,7330042314,3,7,28 м²,11 м²,16,18,3 м,раздельный,,во двор,дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, стиральная машина, посудомоечная машина, водонагреватель",дизайнерский ремонт,монолитный,2021,,2,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Сказочный Лес,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.69822311,55.68470764",https://www.avito.ru/moskva/kvartiry/3-k._apartamenty_577_m_1618_et._7330042314
"3-к. квартира, 79 м², 10/14 эт.",20000000,"Москва, Сколковское ш., 40к2",,Пользователь,Пользователь,7379949455,3,79,,23 м²,10,14,,"совмещенный, раздельный",,на улицу,требует ремонта,,,,дизайнерский ремонт,монолитный,,2,1,"закрытая территория, детская площадка, спортивная площадка",,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.39403534,55.70081711",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_79_m_1014_et._7379949455
"3-к. квартира, 51,1 м², 7/9 эт.",14700000,"Москва, Фестивальная ул., 53к2",,Пользователь,Пользователь,7373033112,3,1,35 м²,6.5 м²,7,9,,совмещенный,лоджия,"во двор, на солнечную сторону",косметический,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина",дизайнерский ремонт,панельный,1968,1,нет,"детская площадка, спортивная площадка",открытая во дворе,Жк Донской,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.49335300,55.86193900",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_511_m_79_et._7373033112
"3-к. квартира, 134,7 м², 14/18 эт.",108000000,"Москва, пр-т Вернадского, 97к3",,Пользователь,Пользователь,2229112831,3,7,57.4 м²,30 м²,14,18,3 м,"совмещенный, раздельный",лоджия,"во двор, на улицу",дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",дизайнерский ремонт,монолитный,2004,2,2,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе",Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.49024500,55.66712200",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_1347_m_1418_et._2229112831
"3-к. квартира, 83,3 м², 25/35 эт.",38490000,"Москва, ул. Лобачевского, 120к1",Сегодня 12:48,Rielt Group Agency,Rielt Group Agency,7343929556,3,3,40.2 м²,26.7 м²,25,35,3.1 м,совмещенный,,"во двор, на улицу",дизайнерский,,"ю, подземный паркинг, консьерж-сервис, зона коворкинга. Во дворе пруд и летний кинотеатр, охрана, видеонаблюдение, автомойка, зарядки для электромобилей и система пожаротушения. Девелопер продумал все до мелочей.

ЛОКАЦИЯ",,"Квартира с практически завершенным дизайнерским ремонтом (на 70%),",монолитный,2022,3,1,", на улицу
Ремонт",,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.46981700,55.69612300",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_833_m_2535_et._7343929556
"3-к. квартира, 76 м², 2/9 эт.",65000000,"Москва, Малая Никитская ул., 16/5",11 мая 07:50,Monumental Group,Monumental Group,7308704461,3,76,,12 м²,2,9,3 м,совмещенный,лоджия,"во двор, на улицу",евро,,,,"Кoмфopтнaя плaнировка c большим потенциaлом: куxня-гостиная, две прoсторныe cпальни с выхoдoм нa тeрpaсу, cанузeл, пpоcтоpный хoлл. Высoкиe потoлки, шиpокиe oкна и высокиe двeрныe проёмы, тeрpаса, завораживающие виды-всё это даёт возможности сделать квартиру с уникальным ремонтом вашей мечты! А учитывая, что под квартирой нежилое помещение - возможностей ещё больше! В квартире только две несущие колонны, что позволяет легко спланировать квартиру под свой вкус. Выход на террасу есть ТОЛЬКО у трёх квартир!",кирпичный,1938,1,нет,"закрытая территория, детская площадка",за шлагбаумом во дворе,Жк Миловидное,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.59118900,55.75903500",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_76_m_29_et._7308704461
"3-к. квартира, 51 м², 9/9 эт.",16500000,"Москва, ул. Ляпидевского, 6к2",6 мая 18:25,Агентство недвижимости MoRE,Агентство недвижимости MoRE,7226578675,3,51,35.5 м²,6 м²,9,9,,совмещенный,балкон,во двор,евро,,есть,,дизайнерский ремонт,панельный,,1,нет,Ремонт,,Жк Донской,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.49940800,55.85607300",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_51_m_99_et._7226578675
"3-к. квартира, 74,5 м², 2/17 эт.",17000000,"Москва, ул. Мусоргского, 5к3",7 мая 11:58,ИНКОМ-Недвижимость,ИНКОМ-Недвижимость,7324336065,3,5,45.4 м²,10.1 м²,2,17,,раздельный,,во двор,косметический,,,,дизайнерский ремонт,панельный,,1,1,Ремонт,есть,Жк Донской,,возможна ипотека,альтернативная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.62003400,55.86424700",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_745_m_217_et._7324336065
"3-к. квартира, 58,4 м², 3/9 эт.",15800000,"Москва, Новоясеневский пр-т, 13к1",7 мая 11:42,RealLife Центр Недвижимости и Ипотеки,RealLife Центр Недвижимости и Ипотеки,4697090319,3,4,30 м²,7 м²,3,9,,,"балкон, лоджия","ми 1103, так же много садов в районе 10 штук, есть платные сады Монтессори, так же один во дворе,другой мтнут 15 пешком, всегда есть места, часто возят с др районов в группы, пока ждут место в свой сад, недалеко Битцевский парк, минут 30 пешком, бесплатные парковки вокруг домов.Один собственник,полная стоимость в ДКП .В собственности болле 5 лет .
О доме",косметический,,есть,,дизайнерский ремонт,панельный,,,,,,Жк Донской,ов,Продажа Квартир Трёхкомнатных,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.53834100,55.60578000",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_584_m_39_et._4697090319
"3-к. квартира, 126 м², 2/15 эт.",121291800,"Москва, Студенческая ул., 20",7 мая 01:24,PEOPLE - агентство элитной недвижимости,PEOPLE - агентство элитной недвижимости,4642482820,3,126,,24 м²,2,15,3.3 м,совмещенный,"с выходом из кухни

ОСОБЕННОСТИ КВАРТИРЫ","во двор, на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель","Год постройки, расположение, ремонт и",монолитно-кирпичный,2011,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,а переменной этажности с презентабельной входной группой,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.54998300,55.74334000",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_126_m_215_et._4642482820
"3-к. квартира, 56 м², 5/5 эт.",16450000,"Москва, Большая Филёвская ул., 47к1",,Александр Сергеевич,Александр Сергеевич,7273868096,3,56,,6 м²,5,5,,совмещенный,балкон,"во двор, на улицу, на солнечную сторону",косметический,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина","Год постройки, расположение, ремонт и",кирпичный,", расположение, ремонт и ещё 12 параметров  
Проверка в Росреестре
1 собственник
Последняя смена собственника 15 июля 2011
Не найдены ограничения и обременения 
Совпадают площадь, адрес и этаж
Расположение
Москва, Большая Филёвская ул., 47к1
Пионерская6",нет,нет,детская площадка,открытая во дворе,Жк Миловидное,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.47262192,55.74057388",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_56_m_55_et._7273868096
"3-к. квартира, 80 м², 4/9 эт.",16150000,"Москва, Южнобутовская ул., 143",,Роман,Роман,7239425168,3,80,48 м²,8.5 м²,4,9,,совмещенный,"балкон, лоджия","во двор, на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина",дизайнерский ремонт,панельный,,,1,", на улицу, на солнечную сторону
Ремонт",открытая во дворе,Жк Донской,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.51154493,55.52861008",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_80_m_49_et._7239425168
"3-к. квартира, 97,3 м², 34/43 эт.",42500000,"Москва, ул. Василия Ланового, 1к2",,Александр,Александр,4522556662,3,3,37.1 м²,25.3 м²,34,43,3.1 м,"совмещенный, раздельный",лоджия,"во двор, на улицу, на солнечную сторону",требует ремонта,,,,"Квартира без ремонта, что дает вам возможность воплотить любые дизайнерские идеи и сделать пространство полностью своим. В планировке предусмотрены два совмещенных и один отдельный санузел, что удобно для семьи или гостей. В квартире есть одна лоджия, окна выходят как на улицу, так и во двор, наполняя помещения естественным светом. среди фото вы найдете три варианта возможных планировок.",монолитный,2022,3,2,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.47681619,55.69630413",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_973_m_3443_et._4522556662
"3-к. квартира, 63,2 м², 9/9 эт.",14500000,"Москва, Зеленоград, к440",,Пользователь,Пользователь,7363864759,3,2,42 м²,6 м²,9,9,2.8 м,раздельный,лоджия,"во двор, на солнечную сторону",косметический,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, посудомоечная машина",дизайнерский ремонт,панельный,,1,,"детская площадка, спортивная площадка",открытая во дворе,Жк Донской,,возможна ипотека,альтернативная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.21115494,55.99342346",https://www.avito.ru/moskva_zelenograd/kvartiry/3-k._kvartira_632_m_99_et._7363864759
"3-к. квартира, 80 м², 30/59 эт.",29701760,"ул. Верейская, д. 29/32Б",,MR Group - ЖК «SET»,MR Group - ЖК «SET»,4318574248,3,80,52 м²,,30,59,2.9 м,,лоджия,"ми на три стороны света, мастер-спальнями и террасами, а также система",,,,,предчистовая,монолитный,,,,"детская площадка, спортивная площадка","на 50 мест.

Статусное окружение

В непосредственной близости расположены престижные учебные заведения, такие как лучшая бизнес-школа России",ЖК SET,Урбан-блок UB2,возможна ипотека,,ДДУ по ФЗ 214,Сдача в 3 кв. 2028,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.43617000,55.71002000",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_80_m_3059_et._4318574248
"3-к. квартира, 57,7 м², 20/25 эт.",25085752,"ул. Тагильская , д. 2, корп. 1",16 апреля 22:08,Сиреневый Парк,Сиреневый Парк,4627768828,3,7,26.6 м²,16.8 м²,20,25,2.9 м,"совмещенный, раздельный",,"во двор, на улицу",,,,,предчистовая,монолитно-кирпичный,,,,", на улицу
Отделка",,ЖК «Сиреневый парк»,Корпус 2 (Этап 5),возможна ипотека,,другое,Сдача в 2 кв. 2024,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.74953000,55.81803000",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_577_m_2025_et._4627768828
"3-к. квартира, 84,2 м², 14/23 эт.",41308000,"ул. Фридриха Энгельса, стр. 3",30 апреля 17:38,Hals-development,Hals-development,4497706591,3,2,53.5 м²,10 м²,14,23,3.3 м,"совмещенный, раздельный",,во двор,,,,,без отделки,монолитный,,1,1,закрытая территория,подземная,Премиум-квартал «Дом 56»,Корпус 3,возможна ипотека,договор долевого участия,ДДУ по ФЗ 214,Сдача в 4 кв. 2026,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.69218000,55.77691000",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_842_m_1423_et._4497706591
