Название,Цена,Адрес,Дата публикации,Продавец,Тип продавца,ID объявления,Количество комнат,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Этажей в доме,Высота потолков,Санузел,Балкон или лоджия,Окна,Ремонт,Тёплый пол,Мебель,Техника,Отделка,Тип дома,Год постройки,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Название новостройки,"Корпус, строение",Вид сделки,Способ продажи,Тип участия,Срок сдачи,Дополнительно,Геолокация,Ссылка
"1-к. квартира, 36,6 м², 2/15 эт.",5880806,"д. Говорово, корп. 1",,Domofond,Domofond,4578421513,1,6,11.9 м²,11.3 м²,2,15,,совмещенный,,,,,,,предчистовая,монолитно-кирпичный,,,,,,Апарт-комплекс «Движение. Говорово»,Корпус 1,прямая продажа,,ДДУ по ФЗ 214,Сдача в 2 кв. 2025,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.43874000,55.64918000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_366_m_215_et._4578421513
"1-к. квартира, 42 м², 6/11 эт.",20599000,"Москва, ул. Годовикова, 11к2",,Eugene,Eugene,4367019283,1,42,13 м²,12 м²,6,11,3 м,совмещенный,,во двор,требует ремонта,,,,дизайнерский ремонт,монолитно-кирпичный,2022,1,1,"детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.62630463,55.81083679",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_42_m_611_et._4367019283
"1-к. квартира, 39,6 м², 2/23 эт.",23000000,"Москва, Лазоревый пр., 1",,АН Мари,АН Мари,3134502974,1,6,,9 м²,2,23,3.3 м,совмещенный,лоджия,на солнечную сторону,евро,,,,Ремонт производился с применением качественных материалов и со вкусом!,кирпичный,2016,1,,закрытая территория,"подземная, за шлагбаумом во дворе",Жк Кедровый Лиски,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.63873700,55.84874100",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_396_m_223_et._3134502974
"1-к. квартира, 52,4 м², 15/24 эт.",17200000,"Москва, ул. Лётчика Осканова, 6",7 мая 16:10,НДВ,НДВ,4742329835,1,4,,10.2 м²,15,24,,,,во двор,требует ремонта,,,,дизайнерский ремонт,монолитный,2024,,,Ремонт,подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.55747500,55.85534000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_524_m_1524_et._4742329835
"1-к. квартира, 32,6 м², 2/9 эт.",12500000,"Москва, б-р Яна Райниса, 2к1",12 апреля 13:08,НДВ,НДВ,7237475137,1,6,18.7 м²,6.7 м²,2,9,,с,,на солнечную сторону,евро,,,,дизайнерский ремонт,панельный,1969,,,у,открытая во дворе,Жк Город Звёзд,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.43452300,55.85105500",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_326_m_29_et._7237475137
"1-к. квартира, 37 м², 10/16 эт.",15799999,"Москва, Сельскохозяйственная ул., 14к1",,Виктор Тимофеев,Виктор Тимофеев,7340968675,1,37,20 м²,8.2 м²,10,16,2.7 м,совмещенный,лоджия,"во двор, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина",дизайнерский ремонт,панельный,1979,1,1,детская площадка,открытая во дворе,Жк Город Звёзд,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.64489900,55.83549300",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_37_m_1016_et._7340968675
"1-к. квартира, 37,8 м², 13/17 эт.",14400000,"Москва, Осенний б-р, 10к1",4 мая 09:07,НДВ,НДВ,4773945621,1,8,18 м²,8 м²,13,17,,совмещенный,балкон,на улицу,требует ремонта,,,,"Год постройки, расположение, ремонт и",панельный,1984,,,"е шикарные детская и спортивная площадки, открытый каток. До станции метро Крылатское всего 1-2 минуты ходьбы",открытая во дворе,Жк Город Звёзд,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.40900200,55.75690300",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_378_m_1317_et._4773945621
"1-к. квартира, 42,7 м², 5/12 эт.",19999999,"Москва, ул. Кедрова, 16к3",,Пользователь,Пользователь,7353016956,1,7,20.8 м²,10.8 м²,5,12,2.8 м,совмещенный,лоджия,,косметический,,,,"Это современное жилье с жилой площадью 20.6 квадратных метров и функциональной планировкой, включающей в себя просторную кухню площадью 10.8 квадратных метров, где удобно разместится обеденная зона и рабочая поверхность для кулинарных экспериментов. Квартира после косметического ремонта готова к новоселью без дополнительных вложений. Наличие лоджии добавляет пространству света и воздуха, а вид во двор создает атмосферу спокойствия.",монолитный,2024,1,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе",Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.57221053,55.68174017",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_427_m_512_et._7353016956
"1-к. квартира, 52,4 м², 7/22 эт.",33000000,"Москва, Чкаловский б-р, 6к1",7 мая 16:10,НДВ,НДВ,4837787811,1,4,14.2 м²,23.4 м²,7,22,37,совмещенный,лоджия,на улицу,требует ремонта,,,,дизайнерский ремонт,монолитный,2024,,,"е, можно посмотреть фильм на площадке или поработать на свежем воздухе, установлено видеонаблюдение и система распознавания лиц. Машину можно оставить в подземном двухуровневом паркинге.
ЖК Рrimаvеrа расположен в районе с сложившейся инфраструктурой, в 15 минутах множество объектов инфраструктуры",подземная,Жк Пехра,"ами переменной этажности от 2 до 22 этажей. Редкие форматы из пентхаусов с потолками 4,5 метра, большими террасами и квартир с патио на первом этаже. Из панорамных окон",возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.42200000,55.81432500",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_524_m_722_et._4837787811
"1-к. квартира, 40 м², 4/7 эт.",69000000,"Москва, Тверская ул., 4",,Денис Сергеевич,Денис Сергеевич,4707759985,1,40,19 м²,12 м²,4,7,3.2 м,совмещенный,,"на улицу, на солнечную сторону",евро,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина",дизайнерский ремонт,кирпичный,,1,,"закрытая территория, детская площадка, спортивная площадка","открытая во дворе, за шлагбаумом во дворе",Жк Кедровый Лиски,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.61451679,55.75759568",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_40_m_47_et._4707759985
"1-к. квартира, 38 м², 1/17 эт.",9390000,"Москва, Зеленоград, Георгиевский пр-т, 33к4",,АН Панорама,АН Панорама,4653581098,1,38,25 м²,7 м²,1,17,3.8 м,совмещенный,,во двор,дизайнерский,,кухня,,"Год постройки, расположение, ремонт и",монолитно-кирпичный,2021,2,2,"закрытая территория, детская площадка, спортивная площадка",открытая во дворе,Жемчужина Зеленограда,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.15471825,55.96692398",https://www.avito.ru/moskva_zelenograd/kvartiry/1-k._kvartira_38_m_117_et._4653581098
"1-к. квартира, 45 м², 13/19 эт.",15500000,"Москва, Левобережная ул., 4к12",,Пользователь,Пользователь,7350245092,1,45,22 м²,12 м²,13,19,3 м,совмещенный,лоджия,"во двор, на солнечную сторону",косметический,,,,дизайнерский ремонт,монолитный,2017,1,1,"детская площадка, спортивная площадка",открытая во дворе,"Пpeдлагaeм прекрасную однокoмнатную квaртиру  c пaноpaмными видaми в нoвoм дoмe 2017 гoдa.квартира пpекpacнo paсплaниpовaна большaя куxня, пpoстoрнaя кoмнaтa, оcтeклeннaя лoджия. Райoн с pазвитoй инфрacтруктуpoй, всё в шaгoвoй дocтупнocти,поликлиникa, мaгaзины, шкoлa, детcкий сaд прямо на территории жилищного комплекса до метро Беломорская 500м пешком. Рядом Химкинский лесопарк, Парк Дружбы с Фестивальным прудами, Парк Северного речного вокзала, Химкинское водохранилище с оборудованными пляжами, велодорожками,всё для приятного активного отдыха зимой и летом. Квартира без перепланировок и обременений, первые собственники, полная стоимость в договоре. Продажа свободная, без привязки к альтернативе. На дополнительные вопросы  подробно отвечу по телефону.",,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.47886276,55.86981583",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_45_m_1319_et._7350245092
"1-к. квартира, 33,4 м², 5/9 эт.",11750000,"Москва, Нагатинская наб., 10",,Пользователь,Пользователь,4592997003,1,4,19.3 м²,6.7 м²,5,9,,совмещенный,,во двор,косметический,,кухня,"кондиционер, холодильник, стиральная машина",дизайнерский ремонт,панельный,1969,1,,закрытая территория,за шлагбаумом во дворе,Жк Город Звёзд,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.64077759,55.68227005",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_334_m_59_et._4592997003
"1-к. квартира, 55,8 м², 2/9 эт.",93000000,"Москва, Большой Николоворобинский пер., 9к1",10 апреля 15:51,PEOPLE - агентство элитной недвижимости,PEOPLE - агентство элитной недвижимости,4386854686,1,8,,6 м²,2,9,3 м,совмещенный,,"во двор, на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",дизайнерский ремонт,монолитный,2019,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.64871700,55.75112800",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_558_m_29_et._4386854686
"1-к. квартира, 37,3 м², 18/24 эт.",11000000,"Москва, ул. Вертолётчиков, 2Ак2",,Aurora Borealis Инвестиции &amp; Недвижимость,Aurora Borealis Инвестиции & Недвижимость,7284822715,1,3,14.6 м²,10.7 м²,18,24,2.6 м,совмещенный,лоджия,"во двор, на солнечную сторону",евро,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина","Kвapтиpа pаcпoлoжeна нa 18 этaжe 26-этaжнoго панeльногo домa 2018 годa пoстpoйки. Общaя плoщaдь — 37,3 м², жилая — 14,62 м². Простоpнaя куxня, уютнaя жилaя комнaта и пpодуманный до мелочей ремонт под себя — заезжай и живи!",монолитный,2018,1,1,детская площадка,открытая во дворе,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.94179200,55.69964400",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_373_m_1824_et._7284822715
"1-к. квартира, 42,6 м², 21/24 эт.",17200000,"Москва, Автозаводская ул., 23Бк2",24 апреля 11:08,Брусника.Обмен,Брусника.Обмен,4601193946,1,6,18.9 м²,13.4 м²,21,24,,совмещенный,,,Ремонт В,,,,дизайнерский ремонт,монолитный,2018,,,,есть,Парк Легенд,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.65159200,55.70126200",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_426_m_2124_et._4601193946
"1-к. квартира, 32,7 м², 7/9 эт.",13900000,"Москва, ул. Нижняя Масловка, 14",,Пользователь,Пользователь,4825642955,1,7,18.9 м²,6 м²,7,9,,раздельный,,"на улицу, на солнечную сторону",евро,,кухня,кондиционер,"Год постройки, расположение, ремонт и",панельный,1966,1,нет,"детская площадка, спортивная площадка","открытая во дворе, за шлагбаумом во дворе",Жк Город Звёзд,,прямая продажа,альтернативная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.57597100,55.79209300",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_327_m_79_et._4825642955
"1-к. квартира, 35 м², 8/9 эт.",25800000,"Москва, Ростовская наб., 3",,Пользователь,Пользователь,7304171209,1,35,20 м²,7 м²,8,9,2.8 м,раздельный,балкон,на улицу,требует ремонта,,,,"Cупeрвидoвая уникальная однушка в знаменитом Дoме Учёныx на набeрeжной: oбзор лучшe, чeм из oкoн ""Mосква Сити""!!! Bсe фoтo и видeo cделaны из квaртиpы, отличный вид сpaзу нa тpи стaлинскиx выcoтки, Бeлый дом, Дeлoвoй цeнтp, Поклонную гoру! Уникaльная вoзможнocть сплaниpовaть пpостpанcтво под ceбя: квapтирa по пeриметру квадратной формы 6*6 метров, внутри нет несущих стен -  максимальная свобода для творчества + вы не переплачиваете за чужой ремонт! Квартира с хорошей историей: с момента постройки дома в 1963 года проживал один человек - заслуженный преподаватель МГУ. Также нет комиссии риэлторам: продаёт собственник (господа посредники, пожалуйста, не тратьте зря своё время!). Элитный район Плющихи, тихий непроходной зелёный двор, все необходимое в пешей доступности (включая одну из лучших частных школ - ""Золотое Сечение""), удобная парковка во дворе,  аккуратный подъезд, культурные соседи. Свободная продажа, полная стоимость в договоре, квартира физически и юридически свободна, один взрослый собственник, никто не прописан,  быстрый выход на сделку, все подробности по телефону. Торг после осмотра.",кирпичный,1962,1,1,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,Жк Кедровый Лиски,,Продажа от собственника,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.57616000,55.74394600",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_35_m_89_et._7304171209
"1-к. квартира, 34,9 м², 4/12 эт.",9800000,"Москва, Измайловский пр-т, 91к2",,Пользователь,Пользователь,7350310807,1,9,22 м²,9.7 м²,4,12,2.7 м,совмещенный,балкон,"во двор, на улицу, на солнечную сторону",требует ремонта,,,,дизайнерский ремонт,блочный,1968,2,нет,"детская площадка, спортивная площадка",открытая во дворе,Жк Аквамарин,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.80732346,55.78916931",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_349_m_412_et._7350310807
"1-к. квартира, 36 м², 1/5 эт.",14500000,"Москва, 5-я Магистральная ул., 16",,Пользователь,Пользователь,7343201826,1,36,18 м²,6 м²,1,5,2.9 м,совмещенный,,во двор,евро,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель","Свободная продажа, один собственник, полная стоимость, сделан отличный ремонт, окна во двор, тихо",кирпичный,1958,нет,нет,"детская площадка, спортивная площадка",открытая во дворе,Жк Кедровый Лиски,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.52901500,55.77371200",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_36_m_15_et._7343201826
"1-к. квартира, 37,7 м², 3/17 эт.",13300000,"Москва, Дмитровское ш., 74к1",,Сервис по продаже недвижимости,Сервис по продаже недвижимости,4513391898,1,7,19 м²,7.5 м²,3,17,2.7 м,совмещенный,балкон,на улицу,косметический,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина","Год постройки, расположение, ремонт и",блочный,2016,1,1,"детская площадка, спортивная площадка",за шлагбаумом во дворе,Жк Аквамарин,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.55622487,55.86035190",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_377_m_317_et._4513391898
"1-к. квартира, 35 м², 7/12 эт.",13500000,"Москва, Нижегородская ул., 10к1",,Пользователь,Пользователь,4342826843,1,35,21 м²,9 м²,7,12,,совмещенный,балкон,во двор,косметический,,,,"Год постройки, расположение, ремонт и",блочный,", расположение, ремонт и ещё 12 параметров  
Расположение
Москва, Нижегородская ул., 10к1
Москва-Товарная11",2,,"детская площадка, спортивная площадка",,Жк Аквамарин,,прямая продажа,альтернативная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.67980301,55.73752978",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_35_m_712_et._4342826843
"1-к. квартира, 38 м², 2/17 эт.",12500000,"Москва, Варшавское ш., 53к4",,Ключ Клик,Ключ Клик,7281227817,1,38,19 м²,8 м²,2,17,2.5 м,совмещенный,,на улицу,косметический,,есть,,"Год постройки, расположение, ремонт и",панельный,1995,1,1,детская площадка,открытая во дворе,Жк Город Звёзд,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.63070600,55.67758500",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_38_m_217_et._7281227817
